date,Battery (Charging) -  MW,Pumps -  MW,Exports -  MW,Imports -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-07-16 10:30,-233.09,-491.64,-1105.88,0.00,3964.31,46.25,0.00,116.25,0.26,42.44,0.66,51.18,39.51,2340.25,2403.81,18.80,210.95,0.00,1169.61,0.41,0.00,23.75,0.05,8.70,414.63,-0.01
2025-07-16 11:00,-283.19,-490.51,-1113.30,0.00,3880.50,42.42,0.00,105.65,0.26,44.23,0.40,51.16,38.77,2263.22,3349.97,19.90,319.74,0.00,1719.31,0.58,0.00,32.37,0.08,13.63,366.61,-12.28
2025-07-16 11:30,-412.80,-490.09,-1052.35,0.00,3837.43,43.82,0.00,105.35,0.26,41.72,0.05,12.48,21.37,2244.33,3508.22,21.20,299.71,0.00,1739.93,0.59,0.00,42.62,0.08,13.17,380.84,-0.01
2025-07-16 12:00,-372.18,-488.98,-925.28,0.00,3817.55,45.58,0.00,103.28,0.26,32.67,0.70,18.74,8.20,2152.36,3589.29,21.82,240.05,0.00,1692.21,0.61,0.00,31.64,0.08,9.94,374.44,-12.28
2025-07-16 12:30,-357.75,-489.02,-914.72,0.00,3815.50,42.67,0.00,98.91,0.26,26.95,0.46,25.70,4.29,2020.77,3593.16,22.66,241.96,0.00,1691.04,0.55,0.00,30.30,0.08,8.11,378.31,-14.73
2025-07-16 13:00,-363.59,-487.14,-907.66,0.00,3820.83,43.20,0.00,92.73,0.26,28.58,0.51,23.46,2.66,1999.88,3521.34,23.09,241.73,0.00,1693.68,0.57,0.00,28.41,0.08,8.64,383.19,-14.51
2025-07-16 13:30,-234.66,-486.43,-906.06,0.00,3819.98,45.35,0.00,84.44,0.26,28.95,1.15,24.46,2.62,2038.94,3346.47,23.53,239.66,0.00,1692.94,0.60,0.00,25.87,0.08,8.75,383.38,-14.74
2025-07-16 14:00,-55.55,-486.41,-863.90,0.00,3876.60,47.15,0.00,79.31,0.26,29.02,4.38,23.35,9.55,1891.15,3095.70,23.67,234.58,0.00,1717.53,0.62,0.00,24.79,0.08,8.77,396.62,-16.43
2025-07-16 14:30,-12.98,-485.42,-907.39,0.00,3927.55,43.75,0.00,165.28,0.26,29.52,6.49,15.76,18.40,1981.30,2725.16,22.76,243.47,0.00,1739.54,0.58,0.00,41.88,0.08,8.93,412.25,-16.36
2025-07-16 15:00,-20.28,-444.23,-804.33,0.00,3920.65,45.70,0.00,388.42,0.26,34.47,5.11,47.58,28.22,2199.80,2292.49,22.13,207.72,0.00,1733.49,0.60,0.00,85.34,0.08,10.50,421.71,-12.28
2025-07-16 15:30,-23.35,-203.27,-805.58,0.00,4049.72,50.45,0.00,518.63,0.26,35.08,3.07,73.47,26.89,2138.66,1802.53,21.53,218.14,0.00,1795.37,0.65,0.00,115.57,0.08,10.71,444.59,0.00
2025-07-16 16:00,-7.58,0.00,-726.44,0.00,4525.32,59.67,0.00,534.47,0.26,34.62,11.96,96.31,28.80,1783.63,1247.15,20.69,219.37,0.00,2010.67,0.74,0.00,120.58,0.08,10.56,506.91,90.08
2025-07-16 16:30,-6.12,0.00,-617.04,0.00,5123.56,59.97,0.00,716.54,0.26,35.60,25.42,179.23,28.59,1215.03,714.77,19.96,204.60,0.00,2279.96,0.75,0.00,158.64,0.08,10.87,600.79,93.01
2025-07-16 17:00,-4.99,0.00,-645.45,0.00,5506.47,61.50,0.00,1009.05,184.25,36.08,86.95,441.78,72.39,483.32,299.55,19.24,224.01,0.00,2448.35,0.77,0.00,220.63,53.84,11.03,666.75,162.73
2025-07-16 17:30,0.00,0.00,-655.90,0.00,5687.71,60.98,0.00,1125.68,328.29,36.12,308.83,481.45,162.31,69.69,77.10,18.38,229.02,0.00,2528.09,0.75,0.00,247.33,96.29,11.04,691.07,152.31
2025-07-16 18:00,-0.01,0.00,-654.56,0.00,5785.03,59.83,21.83,1152.78,327.78,36.12,503.13,524.25,212.87,1.34,10.30,17.52,225.18,0.00,2573.23,0.75,11.46,254.39,96.13,11.04,682.10,265.62
